00:58:00 |c|@OriolesFan52|well you have char at least
00:58:14 |c|@OriolesFan52|and damnit EmperorFailing dont bring that up
00:58:19 |c| EmperorFailing|LOL
00:58:22 |c|&Diarmuid O'Dyna|xD 
00:58:29 |c|&Diarmuid O'Dyna|wait who did i say that about
00:58:35 |c|@OriolesFan52|me lol
00:58:36 |c| EmperorFailing|oreo
00:58:36 |c|&Diarmuid O'Dyna|also why do you hve that saved
00:58:37 |c|&Diarmuid O'Dyna|oh
00:58:46 |j| Momtest
00:58:50 |c| EmperorFailing|i just remberd the quote
00:58:53 |c|&Diarmuid O'Dyna|hi mom
00:58:57 |c| Momtest|hi
00:58:58 |c| EmperorFailing|MOM
00:59:01 |c|&Diarmuid O'Dyna|sorry i ßaid a weird thing to you before
00:59:06 |c|&Diarmuid O'Dyna|i meant to send it to ransei
00:59:09 |c| Momtest|np
00:59:10 |userstats|total:8|guests:0| :3|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:1|~:1|⚔:0
00:59:17 |c| EmperorFailing|what happens?
00:59:18 |c| Momtest|im actually gonna brb again lol
00:59:21 |c| EmperorFailing|lol
00:59:22 |n| Momtest - ⒶⒻⓀ|momtest
00:59:22 |n| Momtest - ⒶⒻⓀ|momtest
00:59:22 |c| Ransei|wat
00:59:25 |c| EmperorFailing|cya
00:59:30 |c|&Diarmuid O'Dyna|ok
00:59:38 |c|&Diarmuid O'Dyna|i meant to tell you i wanted to cut off my nose
00:59:40 |c|&Diarmuid O'Dyna|but i told mom instead 
00:59:43 |c| EmperorFailing|lol
00:59:43 |c|&Diarmuid O'Dyna|with no context
00:59:52 |c| EmperorFailing|random pm
00:59:58 |c|&Diarmuid O'Dyna|yep
01:00:41 |c| EmperorFailing|some random perosn pm's u
01:00:41 |c| EmperorFailing|Random Person: I want to cut off my nose
01:00:49 |c|&Diarmuid O'Dyna|not just random person
01:00:53 |c|&Diarmuid O'Dyna|random GLOBAL LEADER
01:00:56 |c| EmperorFailing|try immaging that
01:01:05 |c|&Diarmuid O'Dyna|uea
01:01:12 |c| EmperorFailing|usa*
01:01:28 |c|&Diarmuid O'Dyna|take me and ill walk in and out of hyou 100 times 
01:01:35 |c| EmperorFailing|do you know who momblast even is
01:01:46 |c|&Diarmuid O'Dyna|oh the moor
01:01:50 |c| EmperorFailing|like before
01:02:12 |c| EmperorFailing|he was blocky TG whatever tf that means
01:02:54 |c|&Diarmuid O'Dyna|AH RANGE
01:03:05 |c|&Diarmuid O'Dyna|excalitake
01:03:08 |c|&Diarmuid O'Dyna|ransei babe
01:03:08 |c| EmperorFailing|im going to buy a star soon 
01:03:14 |c| EmperorFailing|Im determented
01:03:29 |c|@OriolesFan52|whoah i can figure out peoples ip and there hosts... good thing im not a hacker
01:03:32 |c|&Diarmuid O'Dyna|THIS LEvEL 62 
01:03:42 |n| EmperorGaming|emperorfailing
01:03:48 |c| EmperorGaming|no u are
01:04:17 |c| EmperorGaming|how orioles
01:04:28 |c| EmperorGaming|how do you know how to do that
01:04:31 |c|@OriolesFan52|do //alts
01:04:34 |c| EmperorGaming|if your not a hackr
01:04:36 |c|&Diarmuid O'Dyna|um
01:04:40 |c|&Diarmuid O'Dyna|what the hell is wrong with thi s tree
01:04:42 |c| EmperorGaming|anyone can do that
01:04:44 |c|&Diarmuid O'Dyna|guys
01:04:51 |c|&Diarmuid O'Dyna|i just encountered a brown tree in black 2??
01:05:01 |c|&Diarmuid O'Dyna|i cant interact with it??
01:05:19 |c|&Diarmuid O'Dyna|!showimage http://i.imgur.com/NgcMIPD.png, 300, 400
01:05:19 |raw|<img src="&#x2f;&#x2f;i.imgur.com&#x2f;NgcMIPD.png" style="width: 300px; height: 400px" />
01:05:23 |c|&Diarmuid O'Dyna|????
