10:28:35 |c|*OutrageousBoT|Congratulations, abd1710 has won the game and recieves  20 points! The correct answer was: Aerodactyl
10:40:41 |c|@abd1710|.hangman
10:40:41 |c|*OutrageousBoT|Hosting a game of Hangman. Use +g to guess.
10:40:42 |c|*OutrageousBoT|_ _ _ _ _ _ _ | [Pokémon] |
10:40:43 |c|@abd1710|.g e
10:40:45 |c|@abd1710|.g u
10:40:46 |c|@abd1710|.g a
10:40:47 |c|@abd1710|.g i
10:40:47 |c|@abd1710|.g o
10:40:49 |c|@abd1710|.g s
10:40:49 |c|*OutrageousBoT|O _ a s _ a _ | [Pokémon] | e u i o
10:40:52 |c|@abd1710|.g omastar
10:40:52 |c|*OutrageousBoT|Congratulations, abd1710 has won the game and recieves  20 points! The correct answer was: Omastar
10:41:00 |c|@abd1710|.signups hangman,10
10:41:00 |c|*OutrageousBoT|Hosting a game of Hangman. Use +g to guess.
10:41:00 |c|*OutrageousBoT|_ _ _ _ _ _ _ _ _ | [Pokémon Item] |
10:41:02 |c|@abd1710|.g e
10:41:03 |c|@abd1710|.g u
10:41:04 |c|@abd1710|.g l
10:41:06 |c|@abd1710|.g a
10:41:07 |c|@abd1710|.g s
10:41:08 |c|@abd1710|.g o
10:41:08 |c|*OutrageousBoT|A _ _ _ a s _ _ e | [Pokémon Item] | u l
10:41:13 |c|@abd1710|.g i
10:41:15 |c|@abd1710|.g h
10:41:16 |c|*OutrageousBoT|A _ o _ a s i _ e | [Pokémon Item] | u l h
10:41:16 |c|@abd1710|.g g
10:41:21 |c|@abd1710|.g abomasite
10:41:21 |c|*OutrageousBoT|Congratulations, abd1710 has won the game and recieves  20 points! The correct answer was: Abomasite
10:47:43 |c|@abd1710|.signups bj
10:47:43 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
10:47:48 |c|@abd1710|.join 50
10:47:51 |c|@abd1710|.start
10:47:51 |c|*OutrageousBoT|Top Card - abd1710: [♥10]
10:47:51 |c|*OutrageousBoT|**Dealer's Top Card: [♥4]**
10:47:52 |c|*OutrageousBoT|abd1710's turn! __(+hit or +stay)__
10:47:55 |c|@abd1710|.stay
10:47:55 |c|*OutrageousBoT|The Dealer has bust with 23
10:47:56 |c|*OutrageousBoT|The winners are: abd1710. Rewards: 50 points
10:47:57 |c|@abd1710|gg
10:47:59 |c|@abd1710|.top
10:47:59 |c|*OutrageousBoT|Top (chillin): #1: cellwar - ``602`` | #2: normanz1283 - ``450`` | #3: abd1710 - ``190`` | #4: tamatomo - ``140`` | #5: null - ``-1``
10:52:55 |c|@abd1710|.anagrams 10
10:52:55 |c|*OutrageousBoT|Hosting a game of anagrams. Use +g to submit your answer. First to 10 points wins!
10:53:12 |c|*OutrageousBoT|[Pokémon] p, i, w, l, i, h, l, o, r
10:53:21 |c|@abd1710|.g whirpool
10:53:25 |c|@abd1710|.g poliwhirl
10:53:25 |c|*OutrageousBoT|abd1710 got the right answer, and has 1 points!
10:53:29 |c|*OutrageousBoT|[Pokémon] e, l, e, d, b, b, w
10:53:39 |c|@abd1710|.g weedle
10:53:43 |c|@abd1710|.g doubell
10:53:46 |c|*OutrageousBoT|The correct answer was: Dwebble
10:53:47 |c|*OutrageousBoT|[Pokémon Move] d, o, t, u, o, n, g, a, c, t, r
10:54:03 |c|*OutrageousBoT|The correct answer was: Cotton Guard
10:54:04 |c|*OutrageousBoT|[Pokémon Move] g, i, s, e, a, m, n, b, a, l
10:54:13 |c|@abd1710|.g idk
10:54:20 |c|*OutrageousBoT|The correct answer was: Signal Beam
10:54:21 |c|*OutrageousBoT|[Pokémon Move] s, s, s, e, k, e, w, i, t
10:54:28 |c|@abd1710|..end
10:54:28 |c|*OutrageousBoT|The game of anagrams has been ended.
11:00:16 |userstats|total:3|guests:0| :0|+:0|$:0|%:0|@:1|*:1|★:0|#:1|&:0|~:0|⚔:0
11:03:03 |c|@abd1710|.hangman
11:03:04 |c|*OutrageousBoT|Hosting a game of Hangman. Use +g to guess.
11:03:04 |c|*OutrageousBoT|_ _ _ _ _ _ / _ _ _ _ _ | [Pokémon Item] |
11:03:06 |c|@abd1710|.g r
11:03:07 |c|@abd1710|.g e
11:03:08 |c|@abd1710|.g b
11:03:09 |c|@abd1710|.g y
11:03:10 |c|@abd1710|.g p
